ไม่,neg
ไม่ดี,neg
ทำไรไม่ดีสักอย่าง,neg
ไม่ค่อยดี,neg
ไม่ได้เรื่อง,neg
แย่ไปหมด,neg
น้อยใจ,neg
งอน,neg
ไม่ดีพอ,neg
ไม่รู้เรื่อง,neg
ช่างเลวจริงๆ,neg
อึดอัดไม่รัก,neg
ปวดหัวแท้,neg
ไม่มีเงินโว้ย,neg
ขี้เกียจล้านตัว,neg
แย่ว่ะ,neg
ทำไมวะ,neg
ไม่ชอบ,neg
ร้อนตัวหรอ,neg
ไม่น่ารัก,neg
อำลา,neg
เวลาเหนื่อยนี่บ่นใครบ้าง,neg
เสีย,neg
เสียความรู้สึก,neg
เจ็บเจ็บอีก,neg
อิจฉาจัง,neg
ทุเรศ,neg
ทุเรศสุด,neg
แบล็กลิสต์,neg
เพ้อเจ้อคิดไปเอง มโนไปเอง,neg
ไม่ซาบซึ้ง,neg
ข่มขู่บีบบังคับ,neg
เธอมองข้าม,neg
นี้ไงถึงไม่อยากให้รู้เพราะว่าวุ่นวายเเค่นี้ก็พอเเล้ว,neg
หลอกให้รัก ,neg
เเล้วทิ้งไป,neg
ขี้คร้าน,neg
เมื่อยร่างกายอ่อนเพลีย,neg
ตำหนิ,neg
น้อย,neg
ไม่เคย,neg
หัวร้อน,neg
ยากกว่าหลายเท่า,neg
เพราะผิดหวังเยอะ,neg
เจ็บเยอะ,neg
เสียน้ำตา,neg
มันแย่,neg
เบื่อจริงๆ,neg
เสื่อม,neg
ว่างไม่มีอะไรทำ,neg
ไม่สร้างสรรค์,neg
สนุกบนความทุกข์ความไม่สบายของคนอื่น,neg
กลัวเจ็บ,neg
เจ็บ,neg
ราคาแพงเกินไปไม่คุ้ม,neg
เลิกเถอะ,neg
ชอบขี้งอนและน้อยใจ,neg
มันรู้สึกเหนื่อยจนไม่รู้ว่าระบายออกมายังไง,neg
ฟุ้งซ่าน,neg
หิวขี้เกียจลุกไปกิน,neg
เครียดปวดหัว,neg
ล้มโดนเหยียบซ้ำโดนนินทาสารพัดผิดไปหมด,neg
เหี้ย,neg
อันตรายสุด,neg
อันตรายกว่าที่คิด,neg
ร้องไห้เสียใจจากการลาจาก,neg
เบื่อละคร,neg
ฆ่าตัวตายจากปัญหาความเครียด,neg
สังเวยชีวิต,neg
น่ากลัวคือสังเวยชีวิต,neg
อีเหี้ย,neg
เหี้ยกว่านั้นคือกูร้องไห้ตาม,neg
ความตาย,neg
ขู่ให้ลบทันที,neg
โบกมืออำลา,neg
เสือกสอบไม่ติด,neg
กูโง่ขนาดนั้นหรอ,neg
ความรู้สึกกูเหี้ย,neg
ผิดเองไม่พร้อม,neg
ประกาศช้า,neg
ไม่อยากลุ้น,neg
หมดอารมณ์,neg
สอบไม่ติด,neg
เหนื่อย,neg
โครตผี,neg
โดดเดี่ยวไม่มีใคร,neg
เหนื่อยจนไม่อยากทำอะไรละ,neg
ไม่มีใครให้กำลังใจ,neg
หยิ่งเกินไป,neg
ฝันสลาย,neg
เหมือนฟ้าผ่ากลางใจ,neg
แพ้,neg
คือสุดยอดแห่งความห่วยแตก,neg
ความกังวล,neg
เจ็บ สุดๆด้วย,neg
หลอกแฟน ด้วยมุขเดิม,neg
ยอมแพ้ ไม่รู้ทำยังไง,neg
ทอดทิ้ง,neg
ทุกอย่างไร้ค่า,neg
หวังอะไรลมๆ แล้งๆ ,neg
น้ำใต้ศอก,neg
ขายขี้หน้า,neg
ไม่เห็นอะไร,neg
ไม่รู้หวังอะไร,neg
กลัวว่ามันไม่มีอนาคต,neg
อันนี้ค่อนข้างแย่อยู่,neg
ทำร้ายร่างกาย,neg
รำคาญ,neg
น่าเสียดาย,neg
ลำบาก,neg
ถึงไม่รัก,neg
ฉันเสียเธอไป,neg
มันยิ่งทำให้เค้าเจ็บปวด,neg
เจ็บแทบตาย,neg
ความหวังสุดท้ายหายไปละ,neg
โคตรทรมาน,neg
ท้อหมดแรง,neg
แพ้ให้ความไม่ชัดเจน,neg
ไม่พอ,neg
จนไม่มีเงินซื้อ,neg
หลอกว่ายังรัก,neg
พลาดหลายๆอย่างที่สำคัญไป,neg
พบการทุจริต,neg
ให้ยากกว่าเดิม,neg
ไม่มีความหมาย,neg
แสดงออกอย่างรุนแรง,neg
ความน่ากลัว,neg
แย่จัง,neg
กูปากหมาชอบด่า,neg
หลอกให้รักแล้วจากไป,neg
ไม่เห็นค่า,neg
ไม่มีใครเห็นค่า,neg
ใสเกินไป,neg
เกินพอเกินไป,neg
ร้องไห้งอแงไม่ปลอบ,neg
กำลังแย่,neg
เจ้าชู้,neg
หน้าแบบเซ็ง,neg
ขัดจังหวะ,neg
ร้องไห้หนัก,neg
หงุดหวิดโว้ย,neg
ข่มขู่บังคับอยู่ยาก,neg
ไม่เต็ม,neg
ไอ้สัส,neg
ปวดหัวหัวระเบิด,neg
ตายห่าไป,neg
บีบคอตาย,neg
เสื่อมพัง,neg
ดวงไม่ดี,neg
ไล่ออก,neg
กลัวจุดจบแบบนี้ั,neg
เลวร้าย,neg
หลอกไปเสียหาย,neg
ลำพังหนาว,neg
ปัญหา,neg
พูดให้ร้าย,neg
ทำชั่ว,neg
คำตอแหล,neg
สงสาร,neg
โหยหา,neg
ดราม่าเยอะ,neg
โครตกาก,neg
ทำงานบกพร่องจนทำให้เดือดร้อน,neg
เศร้าเสียใจ,neg
ท้อแท้หมดกำลัง,neg
ง่วง,neg
อ่อนแอไร้ค่าไร้ความหมาย,neg
รบกวน,neg
เย็นชาไม่สนใคร,neg
ความทุกข์ยากลำบาก,neg
ล้อเล่นกับความรู้สึก,neg
เสียชีวิตสลดเจ็บสาหัส,neg
หลอก,neg
จมน้ำตายต่อหน้า,neg
ขี้กลัวโดนผีหลอก,neg
แย่ลงไปหมด,neg
หมดศรัทธา,neg
ลอบสังหาร,neg
เขย่าขวัญน่ากลัว,neg
ฉันตื่นสายพลาดไปไม่ทันรถ,neg
พลาดไป,neg
ยอมแพ้,neg
ดราม่าหนัก,neg
เรียกร้องให้แบน,neg
วายร้าย,neg
นินทา,neg
ไม่สบาย,neg
ไม่ใส,neg
ขี้ลืม,neg
ลืม,neg
ไม่แข็งพอ,neg
เกลียดหน้ามึงอ่ะ,neg
ไม่มีใครจดจำ,neg
งานท่วมหัวทำตัวเหมือนว่าง,neg
แปลกหน้าไม่มีใครรู้จัก,neg
โดนเทมันทำให้พัง,neg
น้อย,neg
อย่าให้พูดกวน,neg
ยาโคตรขมไม่อร่อยรสชาติแย่,neg
ตอบยากจังว่ะตายหรือไง,neg
ผีเหี้ยไรเเม่งกูหมั่นใส้,neg
ประกาศผิด,neg
เจอแบบนี้เสียความรู้สึก,neg
งานระดับนี้ผิดพลาดได้ไง,neg
โหด,neg
ลามก,neg
ขยะแขยง,neg
เสือก,neg
อิจฉาสิ,neg
มันนินทา,neg
อยู่เมืองดัดจริตเนี่ยมันอยู่ยากจริงเนอะ,neg
แพ้แล้ว,neg
โดนแทงตาย,neg
ตายในหลุม,neg
เถื่อน,neg
พูดไม่รู้เรื่อง,neg
อดอยากไม่มีเงิน,neg
อดตาย,neg
สุดท้ายโดนหลอก,neg
เศรษฐกิจตกต่ำตกงาน,neg
หิวข้าว,neg
โกรธ,neg
สยองเกินบรรยาย,neg
ไฟไหม้ป่า,neg
เข้าใจผิด,neg
ไม่กล้า,neg
ทิ้ง,neg
เสียไปง่าย,neg
อารมณ์เสีย,neg
เลิก,neg
เศร้า,neg
ทำเหี้ยไรผิด,neg
ฉิบหาย,neg
ประชด,neg
ขอเถียงขาดดิ้น,neg
เห็นร้องไห้,neg
หดหู่,neg
เจ็บคอไอไข้หวัด,neg
เห็นแก่ตัว,neg
อย่าคาดหวัง,neg
หลงทาง,neg
ป่วยไม่สบาย,neg
โดนทิ้ง,neg
ทุบตีไล่ออก,neg
หมดความอดทน,neg
เกรียน,neg
ผิดหวัง,neg
เพ้อเจ้อ,neg
บาป,neg
สังหาร,neg
กลัวเสียมันไป,neg
ถ้ามันเสียไปกู้กลับมาคือไม่เหมือนเดิม,neg
หมดละมันพังไปหมดละมันไม่เหลืออะไรอีก,neg
เกลียด,neg
คิดน้อย,neg
ลาก่อน,neg
ทำตัวไร้ค่า,neg
ทะเลาะ,neg
หลอกลวง,neg
งง,neg
อวดเก่ง,neg
อยู่ดีไม่ว่าดี,neg
ตามไม่ทัน,neg
ความเสี่ยง,neg
น่าสงสาร,neg
ลาออกจากงาน,neg
เหนื่อยและเพลีย,neg
ถีบตกบันได,neg
ขายไม่ออก,neg
อกหักเพราะบอกเลิก,neg
พังยับเยิน,neg
ฉันผิดเอง,neg
ตกนรกทั้ง,neg
แสบท้อง,neg
แสบแก้วหู,neg
ไม่เพราะ,neg
เสียเวลา,neg
มองโลกแง่ร้าย,neg
ร้ายกาจ,neg
หลบหนีความผิด,neg
กดดัน,neg
กดขี่เรียกค่าไถ่,neg
กระวนกระวาย,neg
ก่อกวน,neg
ก่อกรรมทำเข็ญ,neg
ยัดเยียดข้อกล่าวหา,neg
แพ้พนัน,neg
หมกมุ่นในเรื่องเพศเกินไป,neg
ไม่,neg
ปากทำเป็นพูดแต่ไม่รู้เรื่องอะไร,neg
เดินลำพัง,neg
หยุดเล่น,neg
ทำลาย,neg
ทำล้มเหลว,neg
ไม่เหมาะสม,neg
ไม่โปรด,neg
แอบอ้างหลอกลวง,neg
ระยำ,neg
ชิบหาย,neg
สาส,neg
ป่าเถื่อน,neg
สอบตก,neg
เบื่อโรคอ้วน,neg
ล้มตกบันได,neg
แทบขาด,neg
รู้ตัวว่าไม่เหมือนใคร,neg
ปิดกั้น,neg
ท้อ,neg
ห่วย,neg
ไม่ตอบรับกลับ,neg
หมดอายุ,neg
เข่าอ่อน,neg
โดนเหยียด,neg
กังวล,neg
มองโลกในแง่ร้าย,neg
โกรธง่ายฉุนเฉียวบ่อย,neg
อ่อนเพลียง่าย,neg
ว้าวุ่น,neg
คิดไม่ตก,neg
อ้วกไม่สบาย,neg
รู้สึกแย่จัง,neg
ซ้ำรัก,neg
สละสิทธิ์,neg
ตกสัมภาษณ์,neg
บ่น,neg
ไว้อาลัย,neg
พรากจากไป,neg
งี่เง่า,neg
ประชดประชัน,neg
